Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Absolutno;Star;07:46:51.96;+39:05:40.5;Lyn;;;;;11.95;;;;;;;;;;;;;;;;;;XO-5;Absolutno;;;
Acamar;Star;02:58:15.67;-40:18:16.8;Eri;;;;;2.88;;;;;;;;;;;;;;;;;;HR 897,tet01 Eri,HIP 13847,HD 18622;Acamar;;;
Achernar;Star;01:37:42.85;-57:14:12.3;Eri;;;;;0.45;;;;;;;;;;;;;;;;;;HR 472,alf Eri,HIP 7588,HD 10144;Achernar;;;
Achird;Star;00:49:06.29;+57:48:54.7;Cas;;;;;3.46;;;;;;;;;;;;;;;;;;HR 219,eta Cas,HIP 3821,HD 4614;Achird;;;
Acrab;Star;16:05:26.23;-19:48:19.6;Sco;;;;;2.56;;;;;;;;;;;;;;;;;;HR 5984,bet Sco,HIP 78820,HD 144217;Acrab;;;
Acrux;Star;12:26:35.90;-63:05:56.7;Cru;;;;;1.33;;;;;;;;;;;;;;;;;;HR 4730,alf Cru,HIP 60718,HD 108248;Acrux;;;
Acubens;Star;08:58:29.22;+11:51:27.7;Cnc;;;;;4.26;;;;;;;;;;;;;;;;;;HR 3572,alf Cnc,HIP 44066,HD 76756;Acubens;;;
Adhafera;Star;10:16:41.42;+23:25:02.3;Leo;;;;;3.43;;;;;;;;;;;;;;;;;;HR 4031,zet Leo,HIP 50335,HD 89025;Adhafera;;;
Adhara;Star;06:58:37.55;-28:58:19.5;CMa;;;;;1.50;;;;;;;;;;;;;;;;;;HR 2618,eps CMa,HIP 33579,HD 52089;Adhara;;;
Adhil;Star;01:22:20.42;+45:31:43.6;And;;;;;4.87;;;;;;;;;;;;;;;;;;HR 390,ksi And,HIP 6411,HD 8207;Adhil;;;
Ain;Star;04:28:37.00;+19:10:49.6;Tau;;;;;3.53;;;;;;;;;;;;;;;;;;HR 1409,eps Tau,HIP 20889,HD 28305;Ain;;;
