Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
LBN 1;Neb;17:45:10.49;-28:51:11.9;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 2;Neb;17:48:11.02;-29:10:58.4;;14;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 3;Neb;17:47:10.39;-28:46:03.0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 4;Neb;17:51:10.66;-28:55:45.5;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 5;Neb;16:40:53.62;-17:35:45.2;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 6;Neb;16:36:52.30;-16:36:01.4;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 7;Neb;16:33:51.24;-15:46:13.8;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 8;Neb;15:50:39.60;-05:59:01.0;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 9;Neb;17:46:06.55;-26:11:07.4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 10;Neb;15:53:38.35;-04:41:49.9;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 11;Neb;15:50:37.68;-04:03:01.1;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 12;Neb;16:30:46.56;-11:46:26.0;;65;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 13;Neb;16:12:42.12;-08:02:37.7;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 14;Neb;17:55:04.70;-24:50:28.3;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 15;Neb;15:51:37.39;-03:44:57.5;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 16;Neb;16:32:46.06;-11:16:18.1;;150;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 17;Neb;16:10:41.09;-07:05:45.2;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 18;Neb;15:50:36.55;-02:54:01.1;;28;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 19;Neb;15:50:36.48;-02:49:01.2;;140;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 20;Neb;16:26:44.09;-09:36:42.1;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 21;Neb;16:28:44.11;-09:36:34.2;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 22;Neb;16:28:44.02;-09:31:34.3;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 23;Neb;15:48:35.62;-01:57:08.3;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 24;Neb;16:32:44.76;-10:06:18.0;;480;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 25;Neb;18:04:04.01;-24:19:49.1;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 26;Neb;18:05:03.98;-24:19:44.4;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 27;Neb;18:02:02.14;-22:59:57.8;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 28;Neb;18:10:03.50;-23:59:22.6;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 29;Neb;18:10:03.50;-23:59:22.6;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 30;Neb;16:24:41.69;-07:26:50.3;;140;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 31;Neb;18:08:02.76;-23:26:31.6;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 32;Neb;16:32:43.08;-08:36:18.0;;65;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 33;Neb;18:11:03.14;-23:44:18.2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
