Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
PK 359-06 1;PN;18:13:18.03;-32:19:43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0+04 2;PN;17:29:23.65;-26:26:02.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0+17 1;PN;16:43:49.35;-18:56:33.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-01 1;PN;17:50:24.21;-29:25:17.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-02 2;PN;17:55:21.29;-29:58:02.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-05 1;PN;18:08:24.92;-31:37:24.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-01 5;PN;17:53:45.91;-29:43:46.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0+12 1;PN;17:01:33.58;-21:49:33.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-02 5;PN;17:57:41.71;-30:02:02.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-04 1;PN;18:05:01.89;-30:58:15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-01 6;PN;17:54:25.32;-29:36:09.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-02 6;PN;17:58:19.47;-30:00:41.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-01 2;PN;17:52:34.95;-29:06:33.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-02 3;PN;17:56:24.18;-29:38:04.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0+03 1;PN;17:34:54.74;-26:35:57.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0+04 1;PN;17:29:25.97;-25:49:23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-02 4;PN;17:58:09.75;-29:44:21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-03 1;PN;18:02:18.74;-30:14:20.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-07 1;PN;18:17:36.86;-31:56:35.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-01 3;PN;17:53:50.78;-28:59:21.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-07 2;PN;18:18:37.30;-31:54:51.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-02 1;PN;17:56:01.79;-29:11:17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 0-04 2;PN;18:07:05.25;-30:34:12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1+01 1;PN;17:40:28.09;-27:00:47.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1+02 1;PN;17:40:16.28;-26:44:21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1-03 1;PN;18:00:37.68;-29:21:50.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1-01 1;PN;17:53:46.97;-28:27:16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1+05 2;PN;17:28:37.38;-24:51:05.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1-06 2;PN;18:16:12.29;-30:52:07.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1-01 2;PN;17:54:34.61;-28:12:42.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1+05 1;PN;17:28:03.77;-24:25:19.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1-01 3;PN;17:56:02.65;-28:14:12.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1-04 1;PN;18:07:14.58;-29:41:24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 1-04 2;PN;18:07:53.86;-29:44:34.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-02 1;PN;17:58:21.68;-28:14:50.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-06 1;PN;18:15:06.51;-30:15:33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-13 1;PN;18:45:51.08;-33:20:39.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-02 2;PN;17:59:19.35;-28:13:47.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-04 1;PN;18:07:07.25;-29:12:55.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-02 4;PN;18:01:42.66;-28:25:45.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4+06 1;PN;17:30:35.81;-21:28:50.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-06 2;PN;18:16:18.59;-30:07:35.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-09 1;PN;18:29:11.66;-31:29:59.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-03 2;PN;18:04:28.26;-28:37:41.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
