Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-1;HII;15:58:51.21;-26:07:13.9;;150;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-2;HII;17:04:06.62;-38:08:33.0;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-3;HII;17:13:45.03;-38:30:11.2;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-4;HII;17:19:48.78;-39:20:19.5;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-5;HII;17:20:03.47;-38:27:17.2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-6;HII;17:15:04.11;-37:06:59.6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-7;HII;16:00:19.76;-22:57:02.3;;240;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-8;HII;17:21:24.85;-36:02:04.9;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-9;HII;16:21:10.89;-25:35:22.0;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-10;HII;17:19:00.01;-34:05:25.1;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-11;HII;17:26:30.95;-34:12:20.5;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-12;HII;17:35:56.18;-32:35:58.5;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-13;HII;17:30:28.56;-31:33:45.6;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-14;HII;17:30:18.48;-30:15:46.8;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-15;HII;17:50:34.39;-31:15:50.7;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-16;HII;17:47:52.21;-29:18:13.9;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-17;HII;17:46:08.81;-28:51:28.8;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-18;HII;17:48:46.07;-29:15:06.0;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-19;HII;17:49:21.68;-29:07:00.8;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-20;HII;17:49:14.31;-28:40:01.8;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-21;HII;17:51:39.05;-28:53:40.8;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-22;HII;17:55:03.78;-25:02:10.1;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-23;HII;16:13:24.62;-08:22:20.2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-24;HII;16:11:03.81;-07:04:38.2;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-25;HII;18:05:26.04;-24:23:39.3;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-26;HII;17:58:59.03;-23:19:35.5;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-27;HII;16:37:12.41;-10:34:11.0;;480;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-28;HII;18:02:41.77;-23:35:03.1;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-29;HII;18:10:30.92;-23:59:54.8;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-30;HII;18:03:34.20;-23:00:55.3;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-31;HII;18:11:18.35;-23:47:47.8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-32;HII;18:10:53.94;-23:38:51.3;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-33;HII;15:59:52.38;-01:37:02.8;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-34;HII;18:06:24.50;-21:39:30.2;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-35;HII;18:15:50.70;-20:15:07.4;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-36;HII;16:05:30.34;+00:23:40.1;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-37;HII;18:17:43.13;-19:39:51.0;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-38;HII;18:08:45.55;-18:16:09.0;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-39;HII;18:16:46.49;-18:38:59.0;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-40;HII;18:12:02.18;-17:44:40.2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-41;HII;18:15:51.42;-18:14:07.0;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-42;HII;18:10:17.81;-16:48:55.3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-43;HII;18:16:25.27;-17:24:01.9;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-44;HII;18:16:29.57;-16:44:01.1;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-45;HII;18:20:46.12;-16:10:23.7;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-46;HII;18:06:11.14;-14:09:30.7;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-47;HII;18:17:44.74;-15:36:50.0;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-48;HII;18:22:24.13;-14:35:09.2;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-49;HII;18:18:40.62;-13:57:41.5;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-50;HII;18:25:30.41;-14:42:42.1;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-51;HII;18:40:46.73;-16:33:30.1;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-52;HII;19:47:46.84;-23:05:14.9;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-53;HII;18:25:14.76;-13:13:44.2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
