Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
vdB 1;RfN;00:10:46.37;+58:46:10.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 2;RfN;00:13:24.20;+65:36:48.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 3;RfN;00:34:37.37;+69:26:04.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 4;RfN;00:43:18.26;+61:54:40.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 5;RfN;00:56:42.53;+60:43:00.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 6;RfN;01:43:43.36;+61:50:03.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 7;RfN;02:48:55.51;+69:38:03.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 8;RfN;02:51:32.77;+67:48:54.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 9;RfN;02:51:58.75;+68:53:18.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 10;RfN;03:15:47.97;+57:08:26.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 11;RfN;03:24:14.19;+61:32:18.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 12;RfN;03:25:23.92;+31:43:52.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 13;RfN;03:25:50.10;+30:55:54.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 14;RfN;03:29:04.13;+59:56:25.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 15;RfN;03:29:54.74;+58:52:43.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 16;RfN;03:28:20.90;+29:47:57.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 17;RfN;03:29:19.78;+31:24:57.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 18;RfN;03:35:11.87;+38:00:54.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 19;RfN;03:44:34.19;+32:09:46.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 20;RfN;03:44:52.54;+24:06:48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 21;RfN;03:45:49.61;+24:22:03.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 22;RfN;03:46:19.57;+23:56:54.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 23;RfN;03:47:29.08;+24:06:18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 24;RfN;03:49:36.34;+38:58:55.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 25;RfN;04:12:25.00;+23:34:28.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 26;RfN;04:13:34.57;+10:12:44.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 27;RfN;04:21:57.41;+28:26:35.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 28;RfN;04:21:59.43;+19:32:06.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 29;RfN;04:48:22.74;+29:46:22.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 30;RfN;04:54:03.01;+66:20:33.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 31;RfN;04:55:45.85;+30:33:04.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 32;RfN;05:02:21.71;+44:16:10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 33;RfN;05:06:51.06;-03:19:59.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 34;RfN;05:16:18.15;+34:18:44.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 35;RfN;05:14:59.44;+13:00:50.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 36;RfN;05:14:32.27;-08:12:05.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 37;RfN;05:18:04.08;+13:25:03.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 38;RfN;05:21:43.56;+08:25:42.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 39;RfN;05:24:29.53;+32:49:08.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 40;RfN;05:25:38.13;+06:35:17.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 41;RfN;05:29:10.95;+23:41:39.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 42;RfN;05:31:18.41;-05:42:13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 43;RfN;05:32:07.40;+06:02:49.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 44;RfN;05:32:14.83;-04:31:06.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 45;RfN;05:36:40.82;+31:51:16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 46;RfN;05:36:25.43;-06:42:57.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 47;RfN;05:39:14.83;+23:19:24.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 48;RfN;05:38:06.51;-00:11:03.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 49;RfN;05:39:11.15;+04:07:17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 50;RfN;05:40:13.54;-01:27:45.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 51;RfN;05:40:56.37;-01:30:25.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 52;RfN;05:41:38.39;-02:15:32.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 53;RfN;05:41:25.90;-10:18:42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 54;RfN;05:41:48.00;-06:15:00.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 55;RfN;05:42:21.30;-08:08:00.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
